zip,ruca,city,state_name,population,county,median_household_income,latitude,longitude
1035,Urban,Hadley,Massachusetts,"5,293",Hampshire,"$101,458",42.356804,-72.576613
1036,Urban,Hampden,Massachusetts,"4,991",Hampden,"$99,400",42.067614,-72.417507
1037,Suburban,Hardwick,Massachusetts,692,Worcester,"$85,250",42.347856,-72.225251
1038,Suburban,Hatfield,Massachusetts,"2,601",Hampshire,"$90,893",42.37194,-72.60689
1039,Suburban,Haydenville,Massachusetts,"1,675",Hampshire,"$99,896",42.37509,-72.70092
1040,Urban,Holyoke,Massachusetts,"38,480",Hampden,"$45,045",42.198291,-72.64207
1050,Suburban,Huntington,Massachusetts,"2,593",Hampshire,"$70,800",42.313427,-72.903677
1053,Urban,Leeds,Massachusetts,"2,016",Hampshire,"$56,094",42.353838,-72.704385
1054,Suburban,Leverett,Massachusetts,"1,794",Franklin,"$97,188",42.474681,-72.467543
1056,Urban,Ludlow,Massachusetts,"21,050",Hampden,"$72,563",42.16009,-72.47592
1057,Suburban,Monson,Massachusetts,"8,288",Hampden,"$72,567",42.095323,-72.282063
1060,Urban,Northampton,Massachusetts,"14,975",Hampshire,"$70,467",42.321488,-72.630588
1062,Urban,Florence,Massachusetts,"9,835",Hampshire,"$78,526",42.328314,-72.703923
1063,Urban,Northampton,Massachusetts,"2,532",Hampshire,,42.318882,-72.63853
1066,Suburban,North Hatfield,Massachusetts,51,Hampshire,,42.406903,-72.655018
1068,Suburban,Oakham,Massachusetts,"1,621",Worcester,"$85,078",42.346144,-72.058847
1069,Urban,Palmer,Massachusetts,"8,870",Hampden,"$64,300",42.176131,-72.31457
